"ItemID";"ItemName";"ItemPrice";"ItemDescription";"ItemType";"CreationDate";"DateUpdate"
"12";"St. Catherine Realty Corp [ Chest Pa, HBSAG, PE ]";"365.00";;"AccountIndustrial";"2018-11-23 08:12:03";"0000-00-00 00:00:00"
"13";"ALORICA [ BASIC 5 ]";"300.00";;"AccountIndustrial";"2018-11-23 08:16:03";"0000-00-00 00:00:00"
"15";"DNATA(MALE) [ BASIC 5 + DT ]";"450.00";;"AccountIndustrial";"2018-11-23 08:17:52";"0000-00-00 00:00:00"
"16";"DNATA(FEMALE) [ BASIC 5 + PT + DT ]";"520.00";;"AccountIndustrial";"2018-11-23 08:18:45";"0000-00-00 00:00:00"
"17";"MY CLOUD PEOPLE [ BASIC 5 ]";"300.00";;"AccountIndustrial";"2018-11-23 08:27:17";"0000-00-00 00:00:00"
"18";"OWENS ASIA [ BASIC 5 + DRUGTEST SCREENING ] ";"500.00";;"AccountIndustrial";"2018-11-23 08:29:43";"0000-00-00 00:00:00"
"19";"SHORE360 INC. [ BASIC 5 + DRUGTEST SCREENING ] ";"500.00";;"AccountIndustrial";"2018-11-23 08:30:36";"0000-00-00 00:00:00"
"20";"VXI [ BASIC 4 + DRUGTEST SCREENING ] ";"500.00";;"AccountIndustrial";"2018-11-23 08:31:08";"0000-00-00 00:00:00"
"21";"ORIGO BPO [ BASCI 5 + DRUGTEST SCREENING ]";"500.00";;"AccountIndustrial";"2018-11-23 11:49:36";"0000-00-00 00:00:00"
"22";"OUTSOURCED HR SOLUTION CORP. [ BASIC 5 + DRUGTEST SCREENING & OTHERS ] ";"500.00";;"AccountIndustrial";"2018-11-23 11:50:30";"0000-00-00 00:00:00"
"23";"CBC";"225.00";;"AccountHMO";"2018-11-24 07:29:34";"0000-00-00 00:00:00"
"24";"CONSULTATION";"300.00";;"AccountHMO";"2018-11-24 07:49:40";"0000-00-00 00:00:00"
"25";"COCOLIFE [FBS, LIPID, BUA, NA, K , CL, CREA, BUN, SGPT, SGOT, CBC, ECG]";"4255.00";;"AccountHMO";"2018-11-24 09:10:41";"0000-00-00 00:00:00"
"26";"CASH POS";"0.00";;"AccountIndustrial";"2018-11-26 11:13:11";"0000-00-00 00:00:00"
"27";"URINALYSIS";"135.00";"U/A";"AccountHMO";"2018-11-27 15:25:20";"0000-00-00 00:00:00"
"30";"Complete Urinalysis";"75.00";"11 Parameters";"CashLab";"2018-12-01 08:18:58";"0000-00-00 00:00:00"
"31";"Fecalysis";"65.00";" ";"CashLab";"2018-12-20 10:05:19";"0000-00-00 00:00:00"
"32";"CBC";"125.00";"Complete Blood Count";"CashLab";"2019-01-04 15:46:09";"0000-00-00 00:00:00"
"33";"Creatinine";"95.00";" ";"CashLab";"2019-01-04 15:47:57";"0000-00-00 00:00:00"
"34";"SGPT";"110.00";"ALT";"CashLab";"2019-01-04 15:49:55";"0000-00-00 00:00:00"
"35";"BUA";"95.00";"Blood Uric Acid";"CashLab";"2019-01-04 15:51:36";"0000-00-00 00:00:00"
"36";"Lipid Profile";"415.00";"Chole, trigly, HDL, LDL, VLDL, Chole/HDL Ratio";"CashLab";"2019-01-04 15:53:40";"0000-00-00 00:00:00"
"37";"Chest PA";"200.00";"(14x14) WALK IN";"CashImaging";"2019-01-04 15:56:30";"0000-00-00 00:00:00"
"38";"Potassium";"120.00";" ";"CashLab";"2019-01-04 15:58:03";"0000-00-00 00:00:00"
"39";"SGOT";"110.00";"AST";"CashIndustrial";"2019-01-04 15:58:44";"0000-00-00 00:00:00"
"40";"Sodium";"120.00";"Sodium Serum";"CashLab";"2019-01-04 16:00:09";"0000-00-00 00:00:00"
"41";"Basic 5 + Drug Test";"500.00";"CBC, U/A + DT, F/A, Chest PA, P.E";"CashIndustrial";"2019-01-04 16:02:32";"0000-00-00 00:00:00"
"42";"BUN";"95.00";" ";"CashLab";"2019-01-04 16:04:00";"0000-00-00 00:00:00"
"43";"Basic 3";"275.00";"(CXR PA, U/A, F/A)";"CashIndustrial";"2019-01-04 16:05:49";"0000-00-00 00:00:00"
"44";"Basic 5";"350.00";"CBC, U/A, F/A, Chest PA, P.E";"CashIndustrial";"2019-01-04 16:08:52";"0000-00-00 00:00:00"
"45";"HBsAg";"165.00";"(Screening)";"CashLab";"2019-01-04 16:09:37";"0000-00-00 00:00:00"
"47";"Chloride";"120.00";" ";"CashLab";"2019-01-07 11:24:36";"0000-00-00 00:00:00"
"48";"FBS";"80.00";"Fasting Blood Sugar";"CashLab";"2019-01-12 07:47:45";"0000-00-00 00:00:00"
"49";"ABG";"650.00";" ";"CashLab";"2019-01-16 15:14:40";"0000-00-00 00:00:00"
"50";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"51";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"52";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"53";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"54";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"55";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"56";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"57";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"58";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"59";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"60";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"61";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"62";;"0.00";;;"0000-00-00 00:00:00";"0000-00-00 00:00:00"
